Natasha Allen,date unknown ,,Nottinghamshire Women,,,,,
Jhangir Abbas,December 17  1970  Longsight  Manchester  Lancashire ,47 years 112 days,Cheshire,,Right-hand bat,Right-arm offbreak,,
Y Abbas,date unknown ,,Durham 2nd XI,,,,,
Abberley,date unknown ,,,,,,Umpire,
Mark Challenor Abberley,October 22  1967  Llandridnod Wells  Radnor  Wales ,50 years 168 days,Herefordshire,,Right-hand bat,,,
Robert Neal Abberley,April 22  1944  Stechford  Birmingham  Warwickshire ,,Warwickshire,,Right-hand bat,Right-arm medium,August 8  2011 (aged 67 years 108 days) ,
David Robert Abbey,December 11  1941  Edmonton  Middlesex ,76 years 118 days,Middlesex,,Right-hand bat,Slow left-arm orthodox,,
Abbott,date unknown ,,England,,,,,
Alan Wesley Abbott,November 15  1926  Sutton-in-the-Elms  Leicestershire ,,Leicestershire,,Right-hand bat,Right-arm offbreak,November 28  2008 (aged 82 years 13 days) ,
Charles James Abbott,1815  St Pancras  London ,,Surrey,,,,January 6  1889  Walton-on-Thames  Surrey (aged 74 years) ,
Frederick Julius Abbott,November 25  1901  Wellington  New Zealand ,,Worcestershire,,Right-hand bat,,May 4  1952  Banstead  Surrey (aged 50 years 161 days) ,
Herbert Edward Stacy Abbott,April 6  1855  Alipore  India ,,Marylebone Cricket Club,,,,June 13  1939  Richmond  Surrey (aged 84 years 68 days) ,
James Barrington Abbott,May 25  1994  Hammersmith  Middlesex ,23 years 318 days,Cambridge MCCU ,,Right-hand bat,,Eton; Magdalene  Cambridge,
Sophie Abbott,date unknown ,,Cambridge University Women,,Right-hand bat,Right-arm medium,,
William Abbott,October 28  1856  Rydens  Walton-on-Thames  Surrey ,,Surrey,,,,Wicketkeeper,
Anthony John Abdy,April 26  1856  Cambridge ,,Hampshire,,Right-hand bat,,July 4  1924  La Tour-de-Peilz  Switzerland (aged 68 years 69 days) ,
Robert Burlton Abdy,August 1  1857  Carlton  Worksop  Nottinghamshire ,,Marylebone Cricket Club,,,,May 21  1899  Great Yarmouth  Norfolk (aged 41 years 293 days) ,
Thomas Neville Abdy,December 21  1810  Kelvedon  Essex ,,Marylebone Cricket Club,,,,July 20  1877  Westminster  London (aged 66 years 211 days) ,
Edward Abel,January 30  1988  Odstock  Salisbury ,30 years 68 days,Hampshire Cricket Academy ,,Left-hand bat,Slow left-arm orthodox,Oxford Brooks,
Robert Abel,November 30  1857  Rotherhithe  Surrey ,,England ,,Right-hand bat,Right-arm offbreak,Son - ,
Thomas Ernest Abel,September 10  1890  Kennington  London ,,Glamorgan ,,Right-hand bat,Right-arm offbreak,Father - ,
William John Abel,August 29  1887  South Bermondsey  Surrey ,,Surrey,,Right-hand bat,Right-arm fast-medium  Legbreak googly,Father - ,
George Edmond Brackenbury Abell,June 22  1904  Worcester ,,Europeans (India) ,,Right-hand bat,,Son - ,
John Norman Abell,September 18  1931  Chelsfield House  Kent ,,Oxford University,,Right-hand bat,,Father - ,
Roy Beverley Abell,January 21  1931  Small Heath  Birmingham  Warwickshire ,87 years 77 days,Warwickshire,,Right-hand bat,Legbreak,,
